Destino,Aeroporto Nacional,Origem
Bahia,Aeroporto Internacional de Viracopos,República Tcheca
Pernambuco,Aeroporto Internacional de Guarulhos,China
Paraná,Aeroporto Internacional de Curitiba,Filipinas
Espírito Santo,Aeroporto Internacional de Viracopos,Irlanda
Espírito Santo,Aeroporto Internacional de Viracopos,Irlanda
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Finlândia
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Finlândia
Santa Catarina,Aeroporto Internacional de Florianópolis,Singapura
São Paulo,Aeroporto Internacional de São José dos Campos,Alemanha
São Paulo,Aeroporto Internacional de São José dos Campos,Alemanha
Paraná,Aeroporto Internacional de Viracopos,Suécia
Paraná,Aeroporto Internacional de Viracopos,Suécia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Países Baixos (Holanda)
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Países Baixos (Holanda)
Mato Grosso,Aeroporto Internacional de Viracopos,Alemanha
Mato Grosso,Aeroporto Internacional de Viracopos,Alemanha
São Paulo,Aeroporto Internacional de Vitória,China
Amazonas,Aeroporto Internacional de Viracopos,Reino Unido
São Paulo,Aeroporto Internacional do Rio de Janeiro,Irlanda
São Paulo,Aeroporto Internacional do Rio de Janeiro,Irlanda
São Paulo,Aeroporto Internacional de Belo Horizonte,Noruega
Santa Catarina,Aeroporto Internacional de Navegantes,Coreia do Sul
Distrito Federal,Aeroporto Internacional de Guarulhos,Singapura
São Paulo,Aeroporto Internacional de Vitória,Malásia
São Paulo,Aeroporto Internacional de Belo Horizonte,Coreia do Sul
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,Taiwan (Formosa)
Paraná,Aeroporto Internacional de Viracopos,Finlândia
Paraná,Aeroporto Internacional de Viracopos,Finlândia
Rio de Janeiro,Aeroporto Internacional de Belo Horizonte,Irlanda
Rio de Janeiro,Aeroporto Internacional de Belo Horizonte,Irlanda
Minas Gerais,Aeroporto Internacional de Viracopos,Espanha
Minas Gerais,Aeroporto Internacional de Viracopos,Espanha
Minas Gerais,Aeroporto Internacional de Vitória,Itália
Minas Gerais,Aeroporto Internacional de Vitória,Itália
Maranhão,Aeroporto Internacional de São Luís,Suíça
São Paulo,Aeroporto Internacional do Rio de Janeiro,Japão
Alagoas,Aeroporto Internacional de Guarulhos,Reino Unido
Distrito Federal,Aeroporto Internacional de Guarulhos,Áustria
Distrito Federal,Aeroporto Internacional de Guarulhos,Áustria
São Paulo,Aeroporto Internacional de Belo Horizonte,Índia
Paraná,Aeroporto Internacional de Salvador,China
Santa Catarina,Aeroporto Internacional de Navegantes,República Tcheca
Santa Catarina,Aeroporto Internacional de Navegantes,República Tcheca
Alagoas,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Alemanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Irlanda
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Irlanda
Bahia,Aeroporto Internacional de Guarulhos,Hungria
Bahia,Aeroporto Internacional de Guarulhos,Hungria
Pará,Aeroporto Internacional de Guarulhos,Reino Unido
Distrito Federal,Aeroporto Internacional de Guarulhos,Japão
São Paulo,Aeroporto Internacional de Fortaleza ,França
São Paulo,Aeroporto Internacional de Fortaleza ,França
Bahia,Aeroporto Internacional de Salvador,Coreia do Norte
Ceará,Aeroporto Internacional de Fortaleza ,Suíça
Bahia,Aeroporto Internacional de Guarulhos,Reino Unido
Minas Gerais,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Goiás,Aeroporto Internacional de Belo Horizonte,Itália
Goiás,Aeroporto Internacional de Belo Horizonte,Itália
São Paulo,Aeroporto Internacional de Viracopos,Ucrânia
Bahia,Aeroporto Internacional de Salvador,Irlanda
Bahia,Aeroporto Internacional de Salvador,Irlanda
Pará,Aeroporto Internacional de São Luís,Reino Unido
Santa Catarina,Aeroporto Internacional de Florianópolis,Itália
Santa Catarina,Aeroporto Internacional de Florianópolis,Itália
São Paulo,Aeroporto Internacional de Salvador,China
Ceará,Aeroporto Internacional de Viracopos,Itália
Ceará,Aeroporto Internacional de Viracopos,Itália
Bahia,Aeroporto Internacional de Salvador,França
Bahia,Aeroporto Internacional de Salvador,França
Bahia,Aeroporto Internacional de Salvador,Malásia
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Itália
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Itália
Paraná,Aeroporto Internacional do Rio de Janeiro,Alemanha
Paraná,Aeroporto Internacional do Rio de Janeiro,Alemanha
Bahia,Aeroporto Internacional do Rio de Janeiro,Itália
Bahia,Aeroporto Internacional do Rio de Janeiro,Itália
Minas Gerais,Aeroporto Internacional de Belo Horizonte,China
Bahia,Aeroporto Internacional de Viracopos,França
Bahia,Aeroporto Internacional de Viracopos,França
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Dinamarca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Dinamarca
São Paulo,Aeroporto Internacional de Navegantes,Alemanha
São Paulo,Aeroporto Internacional de Navegantes,Alemanha
Espírito Santo,Aeroporto Internacional de Guarulhos,Finlândia
Espírito Santo,Aeroporto Internacional de Guarulhos,Finlândia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,França
Minas Gerais,Aeroporto Internacional de Belo Horizonte,França
Paraná,Aeroporto Internacional de Belo Horizonte,Itália
Paraná,Aeroporto Internacional de Belo Horizonte,Itália
Bahia,Aeroporto Internacional de Salvador,Noruega
Paraíba,Aeroporto Internacional de João Pessoa,Alemanha
Paraíba,Aeroporto Internacional de João Pessoa,Alemanha
Minas Gerais,Aeroporto Internacional de Salvador,China
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Reino Unido
Espírito Santo,Aeroporto Internacional de Vitória,Finlândia
Espírito Santo,Aeroporto Internacional de Vitória,Finlândia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Irlanda
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Irlanda
São Paulo,Aeroporto Internacional de Manaus,Taiwan (Formosa)
Bahia,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
São Paulo,Aeroporto Internacional do Rio de Janeiro,França
São Paulo,Aeroporto Internacional do Rio de Janeiro,França
Espírito Santo,Aeroporto Internacional de Viracopos,Noruega
Rio Grande do Norte,Aeroporto Internacional do Rio de Janeiro,Noruega
São Paulo,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Porto Alegre,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Porto Alegre,Países Baixos (Holanda)
Amazonas,Aeroporto Internacional de Manaus,Espanha
Amazonas,Aeroporto Internacional de Manaus,Espanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Reino Unido
Santa Catarina,Aeroporto Internacional de Navegantes,França
Santa Catarina,Aeroporto Internacional de Navegantes,França
Paraíba,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
Paraíba,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional do Rio de Janeiro,Noruega
Distrito Federal,Aeroporto Internacional de Guarulhos,Finlândia
Distrito Federal,Aeroporto Internacional de Guarulhos,Finlândia
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Suécia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Suécia
Distrito Federal,Aeroporto Internacional de Viracopos,França
Distrito Federal,Aeroporto Internacional de Viracopos,França
Espírito Santo,Aeroporto Internacional de Guarulhos,Singapura
Distrito Federal,Aeroporto Internacional de Viracopos,República Tcheca
Distrito Federal,Aeroporto Internacional de Viracopos,República Tcheca
Distrito Federal,Aeroporto Internacional de Viracopos,Alemanha
Distrito Federal,Aeroporto Internacional de Viracopos,Alemanha
Espírito Santo,Aeroporto Internacional de Guarulhos,Portugal
Espírito Santo,Aeroporto Internacional de Guarulhos,Portugal
Bahia,Aeroporto Internacional de Salvador,Taiwan (Formosa)
Amazonas,Aeroporto Internacional de Manaus,França
Amazonas,Aeroporto Internacional de Manaus,França
Rio Grande do Norte,Aeroporto Internacional do Recife ,Alemanha
Rio Grande do Norte,Aeroporto Internacional do Recife ,Alemanha
Rio de Janeiro,Aeroporto Internacional de Viracopos,Itália
Rio de Janeiro,Aeroporto Internacional de Viracopos,Itália
Amazonas,Aeroporto Internacional de Viracopos,Japão
São Paulo,Aeroporto Internacional de Florianópolis,Taiwan (Formosa)
Bahia,Aeroporto Internacional de Viracopos,Bélgica
Bahia,Aeroporto Internacional de Viracopos,Bélgica
Goiás,Aeroporto Internacional de Guarulhos,Dinamarca
Goiás,Aeroporto Internacional de Guarulhos,Dinamarca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Itália
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Itália
Sergipe,Aeroporto Internacional de Aracaju,Japão
Santa Catarina,Aeroporto Internacional de Florianópolis,Suíça
Amazonas,Aeroporto Internacional de Manaus,Malásia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Filipinas
Amazonas,Aeroporto Internacional de Manaus,Japão
Bahia,Aeroporto Internacional de Salvador,Singapura
São Paulo,Aeroporto Internacional de Curitiba,França
São Paulo,Aeroporto Internacional de Curitiba,França
Amazonas,Aeroporto Internacional de Manaus,Estônia
Amazonas,Aeroporto Internacional de Manaus,Estônia
Ceará,Aeroporto Internacional de Fortaleza ,Portugal
Ceará,Aeroporto Internacional de Fortaleza ,Portugal
Distrito Federal,Aeroporto Internacional de Viracopos,Coreia do Sul
Paraná,Aeroporto Internacional de Curitiba,Países Baixos (Holanda)
Paraná,Aeroporto Internacional de Curitiba,Países Baixos (Holanda)
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Japão
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Japão
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Países Baixos (Holanda)
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Países Baixos (Holanda)
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Suíça
São Paulo,Aeroporto Internacional de Curitiba,Dinamarca
São Paulo,Aeroporto Internacional de Curitiba,Dinamarca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Bélgica
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Bélgica
Paraná,Aeroporto Internacional de Curitiba,Coreia do Norte
São Paulo,Aeroporto Internacional de Vitória,Coreia do Sul
Pará,Aeroporto Internacional de Belém,Espanha
Pará,Aeroporto Internacional de Belém,Espanha
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Ceará,Aeroporto Internacional de Fortaleza ,Itália
Ceará,Aeroporto Internacional de Fortaleza ,Itália
Pernambuco,Aeroporto Internacional de Guarulhos,Reino Unido
Pará,Aeroporto Internacional de Belém,China
Amazonas,Aeroporto Internacional de Manaus,Finlândia
Amazonas,Aeroporto Internacional de Manaus,Finlândia
Bahia,Aeroporto Internacional de Salvador,Suíça
Bahia,Aeroporto Internacional de Salvador,Japão
Rio de Janeiro,Aeroporto Internacional de Viracopos,Finlândia
Rio de Janeiro,Aeroporto Internacional de Viracopos,Finlândia
Amazonas,Aeroporto Internacional de Guarulhos,Japão
Bahia,Aeroporto Internacional de Salvador,Alemanha
Bahia,Aeroporto Internacional de Salvador,Alemanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Porto Alegre,França
São Paulo,Aeroporto Internacional de Porto Alegre,França
Paraná,Aeroporto Internacional de Curitiba,Itália
Paraná,Aeroporto Internacional de Curitiba,Itália
São Paulo,Aeroporto Internacional de Fortaleza ,Espanha
São Paulo,Aeroporto Internacional de Fortaleza ,Espanha
Amazonas,Aeroporto Internacional de Manaus,Lituânia
Amazonas,Aeroporto Internacional de Manaus,Lituânia
São Paulo,Aeroporto Internacional de Belo Horizonte,Japão
Distrito Federal,Aeroporto Internacional do Rio de Janeiro,Suíça
Pernambuco,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
Pernambuco,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
Paraná,Aeroporto Internacional de Curitiba,Espanha
Paraná,Aeroporto Internacional de Curitiba,Espanha
Paraná,Aeroporto Internacional de Curitiba,França
Paraná,Aeroporto Internacional de Curitiba,França
Ceará,Aeroporto Internacional de Fortaleza ,Reino Unido
Pernambuco,Aeroporto Internacional de Guarulhos,Irlanda
Pernambuco,Aeroporto Internacional de Guarulhos,Irlanda
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Indonésia
Paraíba,Aeroporto Internacional de João Pessoa,China
São Paulo,Aeroporto Internacional de Curitiba,França
São Paulo,Aeroporto Internacional de Curitiba,França
Santa Catarina,Aeroporto Internacional de Navegantes,Alemanha
Santa Catarina,Aeroporto Internacional de Navegantes,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Áustria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Áustria
Espírito Santo,Aeroporto Internacional de Viracopos,Coreia do Sul
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
Paraná,Aeroporto Internacional de Curitiba,Japão
Paraná,Aeroporto Internacional de Curitiba,Áustria
Paraná,Aeroporto Internacional de Curitiba,Áustria
Amazonas,Aeroporto Internacional de Tabatinga,Japão
Distrito Federal,Aeroporto Internacional de Porto Alegre,Alemanha
Distrito Federal,Aeroporto Internacional de Porto Alegre,Alemanha
Amapá,Aeroporto Internacional de Macapá,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Navegantes,França
Santa Catarina,Aeroporto Internacional de Navegantes,França
Paraná,Aeroporto Internacional de Curitiba,Reino Unido
Santa Catarina,Aeroporto Internacional de Curitiba,Alemanha
Santa Catarina,Aeroporto Internacional de Curitiba,Alemanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Hong Kong
Santa Catarina,Aeroporto Internacional de Guarulhos,Suécia
Santa Catarina,Aeroporto Internacional de Guarulhos,Suécia
Espírito Santo,Aeroporto Internacional de Vitória,Coreia do Norte
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Malásia
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Suíça
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Bélgica
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Bélgica
Pernambuco,Aeroporto Internacional de Belo Horizonte,Itália
Pernambuco,Aeroporto Internacional de Belo Horizonte,Itália
Ceará,Aeroporto Internacional de Fortaleza ,Suíça
Espírito Santo,Aeroporto Internacional de Viracopos,Áustria
Espírito Santo,Aeroporto Internacional de Viracopos,Áustria
Amapá,Aeroporto Internacional de Belém,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Navegantes,Suíça
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Espanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Espanha
Amapá,Aeroporto Internacional de Macapá,Japão
Paraná,Aeroporto Internacional de Viracopos,Itália
Paraná,Aeroporto Internacional de Viracopos,Itália
Bahia,Aeroporto Internacional de Salvador,Reino Unido
Santa Catarina,Aeroporto Internacional de Navegantes,Itália
Santa Catarina,Aeroporto Internacional de Navegantes,Itália
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Bélgica
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Bélgica
Rio de Janeiro,Aeroporto Internacional de Belo Horizonte,Alemanha
Rio de Janeiro,Aeroporto Internacional de Belo Horizonte,Alemanha
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,Tailândia
Bahia,Aeroporto Internacional de Salvador,Espanha
Bahia,Aeroporto Internacional de Salvador,Espanha
Bahia,Aeroporto Internacional de Salvador,Espanha
Bahia,Aeroporto Internacional de Salvador,Espanha
Paraná,Aeroporto Internacional de Curitiba,Bélgica
Paraná,Aeroporto Internacional de Curitiba,Bélgica
Paraná,Aeroporto Internacional de Curitiba,Suécia
Paraná,Aeroporto Internacional de Curitiba,Suécia
São Paulo,Aeroporto Internacional de Curitiba,Dinamarca
São Paulo,Aeroporto Internacional de Curitiba,Dinamarca
Bahia,Aeroporto Internacional de Salvador,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional de Manaus,Japão
Ceará,Aeroporto Internacional de Fortaleza ,Japão
Pará,Aeroporto Internacional de Belém,Reino Unido
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Paraná,Aeroporto Internacional de Porto Alegre,Alemanha
Paraná,Aeroporto Internacional de Porto Alegre,Alemanha
Alagoas,Aeroporto Internacional de Maceió,Taiwan (Formosa)
Amapá,Aeroporto Internacional de Belém,Tailândia
Minas Gerais,Aeroporto Internacional de Guarulhos,Portugal
Minas Gerais,Aeroporto Internacional de Guarulhos,Portugal
Paraná,Aeroporto Internacional de Brasília,Japão
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Dinamarca
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Dinamarca
Paraná,Aeroporto Internacional de Curitiba,Itália
Paraná,Aeroporto Internacional de Curitiba,Itália
São Paulo,Aeroporto Internacional de Curitiba,Itália
São Paulo,Aeroporto Internacional de Curitiba,Itália
Espírito Santo,Aeroporto Internacional de Guarulhos,Áustria
Espírito Santo,Aeroporto Internacional de Guarulhos,Áustria
Amazonas,Aeroporto Internacional de Manaus,Reino Unido
Bahia,Aeroporto Internacional de Salvador,Alemanha
Bahia,Aeroporto Internacional de Salvador,Alemanha
Bahia,Aeroporto Internacional de Salvador,Bélgica
Bahia,Aeroporto Internacional de Salvador,Bélgica
Rio Grande do Norte,Aeroporto Internacional de Fortaleza ,Alemanha
Rio Grande do Norte,Aeroporto Internacional de Fortaleza ,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Minas Gerais,Aeroporto Internacional de Guarulhos,Singapura
Amazonas,Aeroporto Internacional de Manaus,Singapura
Amazonas,Aeroporto Internacional de Manaus,Países Baixos (Holanda)
Amazonas,Aeroporto Internacional de Manaus,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional do Rio de Janeiro,Tailândia
São Paulo,Aeroporto Internacional de Belo Horizonte,França
São Paulo,Aeroporto Internacional de Belo Horizonte,França
Paraná,Aeroporto Internacional de Curitiba,Suécia
Paraná,Aeroporto Internacional de Curitiba,Suécia
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Bélgica
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Bélgica
Paraíba,Aeroporto Internacional do Recife ,Suíça
Amazonas,Aeroporto Internacional de Manaus,Hong Kong
Amapá,Aeroporto Internacional de Macapá,Tailândia
Amazonas,Aeroporto Internacional de Manaus,"Faroe, Ilhas"
Amazonas,Aeroporto Internacional de Manaus,Coreia do Norte
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,Alemanha
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,Alemanha
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Finlândia
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Finlândia
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Alemanha
Paraná,Aeroporto Internacional de Curitiba,Reino Unido
Minas Gerais,Aeroporto Internacional de Brasília,Hong Kong
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,Áustria
Santa Catarina,Aeroporto Internacional do Rio de Janeiro,Áustria
